id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
72,72,-gneE15_0,5.1,0,0,127.2,-gneE38_0,89.6,12.32,55.2,379.13,7.2,1,0,23.81,1,tripinfo_72 routing_72,DEFAULT_VEHTYPE,0.9,
17,16.8,-gneE46_0,5.1,0,-0.2,129.2,gneE27_0,89.6,12.69,112.4,578.92,49.6,2,0,66.41,1,tripinfo_17 routing_17,DEFAULT_VEHTYPE,0.94,
116,116,-gneE53_0,5.1,0,0,134.4,-gneE44_0,85.6,13.67,18.4,175.13,0,0,0,5.22,0,tripinfo_116 routing_116,DEFAULT_VEHTYPE,1.01,
65,64.8,-gneE36_0,5.1,0,-0.2,135.6,-gneE51_0,85.6,11.59,70.8,569.34,0,0,0,19.25,1,tripinfo_65 routing_65,DEFAULT_VEHTYPE,0.85,
68,68,gneE26_0,5.1,0,0,137.2,gneE42_0,89.6,14.07,69.2,676.26,1.2,1,0,19.21,1,tripinfo_68 routing_68,DEFAULT_VEHTYPE,1.02,
101,102.4,gneE33_0,5.1,0,1.4,137.6,-gneE28_0,89.6,13.63,35.2,184.29,13.2,1,0,21.06,0,tripinfo_101 routing_101,DEFAULT_VEHTYPE,1,
21,24.4,gneE27_0,5.1,0,3.4,138,-gneE5_0,85.6,5.84,113.6,770.89,27.6,1,0,43.76,1,tripinfo_21 routing_21,DEFAULT_VEHTYPE,0.83,
79,78.8,-gneE28_0,5.1,0,-0.2,138,-gneE13_0,85.6,5.64,59.2,581.42,0,0,0,14.83,1,tripinfo_79 routing_79,DEFAULT_VEHTYPE,0.99,
33,32.8,-gneE49_0,5.1,0,-0.2,138.4,-gneE14_0,85.6,5.69,105.6,380.5,60.8,2,0,76.35,1,tripinfo_33 routing_33,DEFAULT_VEHTYPE,0.94,
69,68.8,-gneE13_0,5.1,0,-0.2,138.4,-gneE33_0,85.6,6.31,69.6,565.73,9.2,1,0,30.02,1,tripinfo_69 routing_69,DEFAULT_VEHTYPE,1.1,
103,102.8,-gneE41_0,5.1,0,-0.2,138.8,-gneE30_0,85.6,12.96,36,373.76,0,0,0,6.6,1,tripinfo_103 routing_103,DEFAULT_VEHTYPE,0.97,
36,36,gneE0_0,5.1,0,0,139.6,-gneE43_0,85.6,13.63,103.6,680.68,43.2,1,0,55.19,1,tripinfo_36 routing_36,DEFAULT_VEHTYPE,1.02,
80,80,-gneE41_0,5.1,0,0,140,-gneE46_0,85.6,7.86,60,473.76,8,1,0,22.34,1,tripinfo_80 routing_80,DEFAULT_VEHTYPE,0.94,
63,62.8,-gneE45_0,5.1,0,-0.2,140.8,gneE14_0,85.6,12,78,679.87,4.4,1,0,20.95,1,tripinfo_63 routing_63,DEFAULT_VEHTYPE,0.9,
31,30.8,-gneE42_0,5.1,0,-0.2,145.6,gneE46_0,85.6,12.62,114.8,471.1,59.6,2,0,75.98,1,tripinfo_31 routing_31,DEFAULT_VEHTYPE,0.93,
19,18.8,-gneE28_0,5.1,0,-0.2,146.8,gneE49_0,85.6,5.14,128,781.63,42,3,0,74.7,1,tripinfo_19 routing_19,DEFAULT_VEHTYPE,1.08,
54,54,-gneE30_0,5.1,0,0,146.8,gneE30_0,85.6,14.97,92.8,748.28,8.8,1,0,39.98,1,tripinfo_54 routing_54,DEFAULT_VEHTYPE,1.1,
93,92.8,gneE37_0,6.6,0,-0.2,146.8,gneE36_0,85.6,13.82,54,579.71,0,0,0,9.31,1,tripinfo_93 routing_93,bus,1,
111,110.8,-gneE50_0,5.1,0,-0.2,147.2,gneE5_0,85.6,11.92,36.4,280.29,1.2,1,0,12.89,1,tripinfo_111 routing_111,DEFAULT_VEHTYPE,0.89,
16,16,-gneE47_0,5.1,0,0,148.8,-gneE0_0,89.6,14.43,132.8,484.08,66.8,4,0,98.54,1,tripinfo_16 routing_16,DEFAULT_VEHTYPE,1.06,
23,22.8,gneE35_0,5.1,0,-0.2,149.2,-gneE34_0,85.6,12.14,126.4,464.18,63.6,3,0,85.23,1,tripinfo_23 routing_23,DEFAULT_VEHTYPE,0.89,
41,40.8,gneE48_0,5.1,0,-0.2,150,-gneE45_0,85.6,10.61,109.2,280.29,66,3,0,84.95,1,tripinfo_41 routing_41,DEFAULT_VEHTYPE,0.87,
78,78,gneE4_0,5.1,0,0,154,gneE2_0,85.6,14.08,76,464.39,29.6,1,0,40.54,1,tripinfo_78 routing_78,DEFAULT_VEHTYPE,1.02,
30,30,gneE9_0,5.1,0,0,156.4,-gneE4_0,85.6,9.15,126.4,471.1,55.6,3,0,90.26,1,tripinfo_30 routing_30,DEFAULT_VEHTYPE,0.99,
81,80.8,-gneE30_0,5.1,0,-0.2,156.8,-gneE2_0,85.6,12.1,76,474.71,22.4,1,0,34.6,1,tripinfo_81 routing_81,DEFAULT_VEHTYPE,0.88,
109,108.8,gneE3_0,5.1,0,-0.2,156.8,-gneE29_0,85.6,14.03,48,380.08,4,1,0,19.88,1,tripinfo_109 routing_109,DEFAULT_VEHTYPE,1.02,
122,122,-gneE36_0,5.1,0,0,156.8,-gneE13_0,85.6,13.33,34.8,375.13,0,0,0,5.93,1,tripinfo_122 routing_122,DEFAULT_VEHTYPE,0.97,
56,56,-gneE52_0,5.1,0,0,158.8,-gneE14_0,85.6,14.23,102.8,474.92,43.2,3,0,68.03,1,tripinfo_56 routing_56,DEFAULT_VEHTYPE,1.03,
114,114,gneE42_0,5.1,0,0,160,-gneE26_0,85.6,14.95,46,585.84,0,0,0,6.66,1,tripinfo_114 routing_114,DEFAULT_VEHTYPE,1.09,
102,102,gneE39_0,5.1,0,0,160.8,gneE47_0,85.6,5.48,58.8,380.08,6,2,0,30.4,1,tripinfo_102 routing_102,DEFAULT_VEHTYPE,1.02,
26,26,-gneE26_0,5.1,0,0,162.4,-gneE51_0,85.6,14.88,136.4,779.87,51.2,3,0,82.86,1,tripinfo_26 routing_26,DEFAULT_VEHTYPE,1.09,
70,70,-gneE32_0,5.1,0,0,162.4,-gneE42_0,89.6,13.6,92.4,578.71,30.8,1,0,48.39,1,tripinfo_70 routing_70,DEFAULT_VEHTYPE,1,
37,37.2,gneE34_0,5.1,0,0.2,163.2,gneE47_0,85.6,13.78,126,575.13,60.8,3,0,83.91,1,tripinfo_37 routing_37,DEFAULT_VEHTYPE,1.01,
88,88,gneE50_0,5.1,0,0,166,gneE39_0,85.6,12.57,78,374.71,29.2,2,0,47.11,1,tripinfo_88 routing_88,DEFAULT_VEHTYPE,0.94,
42,42,gneE1_0,5.1,0,0,168,-gneE36_0,85.6,12.36,126,664.39,46,3,0,71.48,1,tripinfo_42 routing_42,DEFAULT_VEHTYPE,0.92,
52,53.6,-gneE44_0,5.1,0,1.6,168,gneE39_0,85.6,13.49,114.4,765.31,22,1,0,53.41,1,tripinfo_52 routing_52,DEFAULT_VEHTYPE,0.97,
73,72.8,-gneE49_0,5.1,0,-0.2,169.6,-gneE37_0,89.6,15.4,96.8,560.57,35.6,2,0,59.44,1,tripinfo_73 routing_73,DEFAULT_VEHTYPE,1.14,
