id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
75,74.8,gneE6_0,5.1,0,-0.2,203.6,gneE51_0,85.6,13.28,128.8,569.76,61.2,2,0,84.88,1,tripinfo_75 routing_75,DEFAULT_VEHTYPE,0.97,
124,124,gneE38_0,5.1,0,0,203.6,-gneE30_0,85.6,12.21,79.6,578.92,18,1,0,31.12,1,tripinfo_124 routing_124,DEFAULT_VEHTYPE,0.89,
96,96,gneE34_0,5.1,0,0,204,gneE48_0,85.6,7.86,108,474.92,36.4,3,0,73.51,1,tripinfo_96 routing_96,DEFAULT_VEHTYPE,1.03,
117,116.8,-gneE4_0,5.1,0,-0.2,205.2,-gneE26_0,85.6,12.56,88.4,480.08,22,2,0,48.3,1,tripinfo_117 routing_117,DEFAULT_VEHTYPE,0.91,
160,160,gneE12_0,5.1,0,0,207.2,gneE5_0,85.6,15.38,47.2,269.76,7.6,2,0,28.48,1,tripinfo_160 routing_160,DEFAULT_VEHTYPE,1.11,
50,50,-gneE0_0,5.1,0,0,207.6,-gneE27_0,89.6,13.3,157.6,782.76,50.4,3,0,98.14,1,tripinfo_50 routing_50,DEFAULT_VEHTYPE,0.99,
95,98,-gneE5_0,6.6,0,3,207.6,-gneE26_0,85.6,13.53,109.6,578.58,30,3,0,66.17,1,tripinfo_95 routing_95,bus,1,
143,142.8,-gneE29_0,5.1,0,-0.2,208.4,gneE53_0,85.6,6.06,65.6,480.08,3.2,1,0,30.43,1,tripinfo_143 routing_143,DEFAULT_VEHTYPE,1.02,
128,128,-gneE45_0,5.1,0,0,211.2,gneE33_0,85.6,11.33,83.2,374.92,26.8,1,0,56.23,1,tripinfo_128 routing_128,DEFAULT_VEHTYPE,1.06,
136,145.6,-gneE37_0,5.1,0,9.6,211.6,gneE26_0,85.6,16.28,66,680.68,9.2,1,0,23.76,1,tripinfo_136 routing_136,DEFAULT_VEHTYPE,1.18,
137,136.8,-gneE49_0,5.1,0,-0.2,213.2,gneE38_0,89.6,13.51,76.4,381.42,30,1,0,46.75,1,tripinfo_137 routing_137,DEFAULT_VEHTYPE,1,
195,194.8,-gneE27_0,5.1,0,-0.2,214,gneE34_0,85.6,12.29,19.2,184.29,0,0,0,3.96,0,tripinfo_195 routing_195,DEFAULT_VEHTYPE,0.92,
104,104,-gneE29_0,5.1,0,0,214.8,-gneE40_0,85.6,15.76,110.8,574.71,35.2,4,0,72.48,1,tripinfo_104 routing_104,DEFAULT_VEHTYPE,1.15,
87,88.8,-gneE52_0,5.1,0,1.8,216,gneE39_0,85.6,13.11,127.2,579.87,46.8,4,0,81.88,1,tripinfo_87 routing_87,DEFAULT_VEHTYPE,0.97,
207,206.8,gneE51_0,5.1,0,-0.2,216.4,gneE51_0,85.6,12.04,9.6,80.5,0,0,0,2.91,1,tripinfo_207 routing_207,DEFAULT_VEHTYPE,0.89,
149,148.8,-gneE27_0,5.1,0,-0.2,223.6,gneE37_0,89.6,13.94,74.8,789.84,3.2,1,0,17.73,1,tripinfo_149 routing_149,DEFAULT_VEHTYPE,1.01,
196,196,-gneE2_0,5.1,0,0,224.4,gneE34_0,85.6,15.07,28.4,269.76,0,0,0,9.07,1,tripinfo_196 routing_196,DEFAULT_VEHTYPE,1.09,
151,151.6,-gneE47_0,5.1,0,0.6,224.8,-gneE26_0,85.6,14.34,73.2,680.08,0,0,0,25.98,1,tripinfo_151 routing_151,DEFAULT_VEHTYPE,1.07,
153,154.4,gneE37_0,5.1,0,1.4,225.6,gneE33_0,85.6,13.97,71.2,776.26,0,0,0,14.76,1,tripinfo_153 routing_153,DEFAULT_VEHTYPE,1.04,
202,202,gneE34_0,5.1,0,0,225.6,gneE52_0,85.6,13.84,23.6,280.5,0,0,0,3.93,1,tripinfo_202 routing_202,DEFAULT_VEHTYPE,1.03,
11,12.4,-gneE31_0,6.6,0,1.4,228,gneE12_0,85.6,5.74,215.6,757.52,114.8,4,0,158.14,1,tripinfo_11 routing_11,bus,1,
99,100.8,gneE31_0,5.1,0,1.8,228,-gneE14_0,85.6,5.68,127.2,375.13,78.4,3,0,101.48,1,tripinfo_99 routing_99,DEFAULT_VEHTYPE,1.09,
113,112.8,gneE26_0,5.1,0,-0.2,228,gneE45_0,85.6,5.14,115.2,469.76,59.6,2,0,77.27,1,tripinfo_113 routing_113,DEFAULT_VEHTYPE,0.92,
147,146.8,gneE35_0,5.1,0,-0.2,228,gneE31_0,85.6,5.74,81.2,175.13,48,2,0,64.79,0,tripinfo_147 routing_147,DEFAULT_VEHTYPE,0.82,
94,94,gneE43_0,6.6,0,0,228.4,-gneE45_0,85.6,6.13,134.4,478.37,63.2,4,0,97.73,1,tripinfo_94 routing_94,bus,1,
132,132,-gneE38_0,5.1,0,0,228.4,-gneE13_0,85.6,5.48,96.4,571.31,38.4,1,0,57.72,1,tripinfo_132 routing_132,DEFAULT_VEHTYPE,1.1,
110,110,-gneE29_0,5.1,0,0,230,gneE30_0,85.6,7.01,120,660.36,33.6,3,0,70.04,1,tripinfo_110 routing_110,DEFAULT_VEHTYPE,1.02,
89,88.8,gneE30_0,5.1,0,-0.2,230.4,-gneE13_0,85.6,8,141.6,469.76,80.8,3,0,108.03,1,tripinfo_89 routing_89,DEFAULT_VEHTYPE,1.06,
133,132.8,gneE38_0,5.1,0,-0.2,230.4,gneE44_0,85.6,7.19,97.6,585.63,34.4,2,0,54.27,1,tripinfo_133 routing_133,DEFAULT_VEHTYPE,1.01,
138,142.8,-gneE45_0,5.1,0,4.8,230.4,-gneE1_0,85.6,13.72,87.6,580.08,18,1,0,43.92,1,tripinfo_138 routing_138,DEFAULT_VEHTYPE,0.99,
91,90.8,gneE40_0,5.1,0,-0.2,232,-gneE13_0,85.6,9.44,141.2,669.34,47.2,3,0,89.18,1,tripinfo_91 routing_91,DEFAULT_VEHTYPE,0.98,
123,122.8,-gneE51_0,5.1,0,-0.2,232,-gneE32_0,85.6,9.57,109.2,474.71,35.2,2,0,70.98,1,tripinfo_123 routing_123,DEFAULT_VEHTYPE,0.95,
130,130,gneE38_0,5.1,0,0,233.6,-gneE32_0,85.6,10.68,103.6,684.08,15.6,3,0,48.7,1,tripinfo_130 routing_130,DEFAULT_VEHTYPE,0.93,
156,156,gneE27_0,5.1,0,0,233.6,-gneE37_0,89.6,15.03,77.6,969.04,0,0,0,14.08,1,tripinfo_156 routing_156,DEFAULT_VEHTYPE,1.12,
